id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,harapan_lama_sekolah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.28,POIN,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.08,POIN,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9.62,POIN,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.82,POIN,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,10.36,POIN,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10.76,POIN,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,11.75,POIN,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10.84,POIN,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,10.66,POIN,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11,POIN,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.9,POIN,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10.45,POIN,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,10.59,POIN,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.16,POIN,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10.76,POIN,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.54,POIN,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9.68,POIN,2010
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-,POIN,2010
19,32,JAWA BARAT,3271,KOTA BOGOR,11.72,POIN,2010
20,32,JAWA BARAT,3272,KOTA SUKABUMI,11.55,POIN,2010
21,32,JAWA BARAT,3273,KOTA BANDUNG,12.41,POIN,2010
22,32,JAWA BARAT,3274,KOTA CIREBON,11.7,POIN,2010
23,32,JAWA BARAT,3275,KOTA BEKASI,12.13,POIN,2010
24,32,JAWA BARAT,3276,KOTA DEPOK,12.45,POIN,2010
25,32,JAWA BARAT,3277,KOTA CIMAHI,12.24,POIN,2010
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11.85,POIN,2010
27,32,JAWA BARAT,3279,KOTA BANJAR,11.9,POIN,2010
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.59,POIN,2011
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.1,POIN,2011
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.07,POIN,2011
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.01,POIN,2011
32,32,JAWA BARAT,3205,KABUPATEN GARUT,10.52,POIN,2011
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11.38,POIN,2011
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12.21,POIN,2011
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11,POIN,2011
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,11,POIN,2011
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.08,POIN,2011
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.93,POIN,2011
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10.87,POIN,2011
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,10.87,POIN,2011
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.26,POIN,2011
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10.92,POIN,2011
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.84,POIN,2011
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.09,POIN,2011
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-,POIN,2011
46,32,JAWA BARAT,3271,KOTA BOGOR,11.85,POIN,2011
47,32,JAWA BARAT,3272,KOTA SUKABUMI,11.68,POIN,2011
48,32,JAWA BARAT,3273,KOTA BANDUNG,12.97,POIN,2011
49,32,JAWA BARAT,3274,KOTA CIREBON,12.1,POIN,2011
50,32,JAWA BARAT,3275,KOTA BEKASI,12.36,POIN,2011
51,32,JAWA BARAT,3276,KOTA DEPOK,12.46,POIN,2011
52,32,JAWA BARAT,3277,KOTA CIMAHI,12.76,POIN,2011
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12.24,POIN,2011
54,32,JAWA BARAT,3279,KOTA BANJAR,12.02,POIN,2011
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.91,POIN,2012
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.73,POIN,2012
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.62,POIN,2012
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.26,POIN,2012
59,32,JAWA BARAT,3205,KABUPATEN GARUT,10.85,POIN,2012
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11.83,POIN,2012
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12.83,POIN,2012
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11.4,POIN,2012
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.17,POIN,2012
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.22,POIN,2012
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11.95,POIN,2012
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11.11,POIN,2012
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.15,POIN,2012
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.71,POIN,2012
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.08,POIN,2012
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.05,POIN,2012
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.53,POIN,2012
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-,POIN,2012
73,32,JAWA BARAT,3271,KOTA BOGOR,11.98,POIN,2012
74,32,JAWA BARAT,3272,KOTA SUKABUMI,12.19,POIN,2012
75,32,JAWA BARAT,3273,KOTA BANDUNG,13.05,POIN,2012
76,32,JAWA BARAT,3274,KOTA CIREBON,12.5,POIN,2012
77,32,JAWA BARAT,3275,KOTA BEKASI,12.43,POIN,2012
78,32,JAWA BARAT,3276,KOTA DEPOK,12.47,POIN,2012
79,32,JAWA BARAT,3277,KOTA CIMAHI,13.23,POIN,2012
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12.66,POIN,2012
81,32,JAWA BARAT,3279,KOTA BANJAR,12.15,POIN,2012
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.68,POIN,2013
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11.8,POIN,2013
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.54,POIN,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.5,POIN,2013
86,32,JAWA BARAT,3205,KABUPATEN GARUT,11.17,POIN,2013
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.29,POIN,2013
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.46,POIN,2013
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11.7,POIN,2013
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.48,POIN,2013
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.38,POIN,2013
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.83,POIN,2013
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11.36,POIN,2013
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.38,POIN,2013
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.22,POIN,2013
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.31,POIN,2013
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.42,POIN,2013
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,POIN,2013
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.48,POIN,2013
100,32,JAWA BARAT,3271,KOTA BOGOR,12.1,POIN,2013
101,32,JAWA BARAT,3272,KOTA SUKABUMI,13.08,POIN,2013
102,32,JAWA BARAT,3273,KOTA BANDUNG,13.13,POIN,2013
103,32,JAWA BARAT,3274,KOTA CIREBON,12.58,POIN,2013
104,32,JAWA BARAT,3275,KOTA BEKASI,13.2,POIN,2013
105,32,JAWA BARAT,3276,KOTA DEPOK,13.24,POIN,2013
106,32,JAWA BARAT,3277,KOTA CIMAHI,13.7,POIN,2013
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.11,POIN,2013
108,32,JAWA BARAT,3279,KOTA BANJAR,12.29,POIN,2013
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.81,POIN,2014
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.12,POIN,2014
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.82,POIN,2014
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.74,POIN,2014
113,32,JAWA BARAT,3205,KABUPATEN GARUT,11.62,POIN,2014
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.41,POIN,2014
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.57,POIN,2014
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.01,POIN,2014
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.6,POIN,2014
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.61,POIN,2014
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.89,POIN,2014
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11.62,POIN,2014
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.44,POIN,2014
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.33,POIN,2014
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.64,POIN,2014
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.73,POIN,2014
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.06,POIN,2014
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.89,POIN,2014
127,32,JAWA BARAT,3271,KOTA BOGOR,12.23,POIN,2014
128,32,JAWA BARAT,3272,KOTA SUKABUMI,13.18,POIN,2014
129,32,JAWA BARAT,3273,KOTA BANDUNG,13.33,POIN,2014
130,32,JAWA BARAT,3274,KOTA CIREBON,12.93,POIN,2014
131,32,JAWA BARAT,3275,KOTA BEKASI,13.28,POIN,2014
132,32,JAWA BARAT,3276,KOTA DEPOK,13.3,POIN,2014
133,32,JAWA BARAT,3277,KOTA CIMAHI,13.71,POIN,2014
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.36,POIN,2014
135,32,JAWA BARAT,3279,KOTA BANJAR,12.42,POIN,2014
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.83,POIN,2015
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.13,POIN,2015
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.83,POIN,2015
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.13,POIN,2015
140,32,JAWA BARAT,3205,KABUPATEN GARUT,11.65,POIN,2015
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.44,POIN,2015
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.59,POIN,2015
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.03,POIN,2015
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.79,POIN,2015
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.74,POIN,2015
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.9,POIN,2015
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.09,POIN,2015
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.46,POIN,2015
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.44,POIN,2015
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.69,POIN,2015
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.93,POIN,2015
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.39,POIN,2015
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.99,POIN,2015
154,32,JAWA BARAT,3271,KOTA BOGOR,12.36,POIN,2015
155,32,JAWA BARAT,3272,KOTA SUKABUMI,13.24,POIN,2015
156,32,JAWA BARAT,3273,KOTA BANDUNG,13.63,POIN,2015
157,32,JAWA BARAT,3274,KOTA CIREBON,12.94,POIN,2015
158,32,JAWA BARAT,3275,KOTA BEKASI,13.36,POIN,2015
159,32,JAWA BARAT,3276,KOTA DEPOK,13.54,POIN,2015
160,32,JAWA BARAT,3277,KOTA CIMAHI,13.73,POIN,2015
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.37,POIN,2015
162,32,JAWA BARAT,3279,KOTA BANJAR,12.95,POIN,2015
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.05,POIN,2016
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.18,POIN,2016
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.88,POIN,2016
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.42,POIN,2016
167,32,JAWA BARAT,3205,KABUPATEN GARUT,11.69,POIN,2016
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.46,POIN,2016
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.65,POIN,2016
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.04,POIN,2016
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.03,POIN,2016
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.89,POIN,2016
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.91,POIN,2016
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.2,POIN,2016
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.66,POIN,2016
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.82,POIN,2016
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.85,POIN,2016
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,12.23,POIN,2016
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.56,POIN,2016
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.02,POIN,2016
181,32,JAWA BARAT,3271,KOTA BOGOR,13.01,POIN,2016
182,32,JAWA BARAT,3272,KOTA SUKABUMI,13.38,POIN,2016
183,32,JAWA BARAT,3273,KOTA BANDUNG,13.89,POIN,2016
184,32,JAWA BARAT,3274,KOTA CIREBON,13.07,POIN,2016
185,32,JAWA BARAT,3275,KOTA BEKASI,13.47,POIN,2016
186,32,JAWA BARAT,3276,KOTA DEPOK,13.86,POIN,2016
187,32,JAWA BARAT,3277,KOTA CIMAHI,13.75,POIN,2016
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.4,POIN,2016
189,32,JAWA BARAT,3279,KOTA BANJAR,13.18,POIN,2016
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.43,POIN,2017
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.19,POIN,2017
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.89,POIN,2017
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.43,POIN,2017
194,32,JAWA BARAT,3205,KABUPATEN GARUT,11.73,POIN,2017
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.47,POIN,2017
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.66,POIN,2017
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.06,POIN,2017
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.21,POIN,2017
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.18,POIN,2017
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.93,POIN,2017
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.21,POIN,2017
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.67,POIN,2017
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.89,POIN,2017
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.96,POIN,2017
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,12.63,POIN,2017
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.79,POIN,2017
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.03,POIN,2017
208,32,JAWA BARAT,3271,KOTA BOGOR,13.37,POIN,2017
209,32,JAWA BARAT,3272,KOTA SUKABUMI,13.39,POIN,2017
210,32,JAWA BARAT,3273,KOTA BANDUNG,13.9,POIN,2017
211,32,JAWA BARAT,3274,KOTA CIREBON,13.08,POIN,2017
212,32,JAWA BARAT,3275,KOTA BEKASI,13.51,POIN,2017
