id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_guru,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,20491,ORANG,2015/2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,13490,ORANG,2015/2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10688,ORANG,2015/2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,14190,ORANG,2015/2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,15396,ORANG,2015/2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11475,ORANG,2015/2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6913,ORANG,2015/2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6721,ORANG,2015/2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,9537,ORANG,2015/2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6746,ORANG,2015/2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6936,ORANG,2015/2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9629,ORANG,2015/2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,8489,ORANG,2015/2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4553,ORANG,2015/2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8368,ORANG,2015/2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,12939,ORANG,2015/2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7566,ORANG,2015/2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2193,ORANG,2015/2016
19,32,JAWA BARAT,3271,KOTA BOGOR,4916,ORANG,2015/2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1862,ORANG,2015/2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,10522,ORANG,2015/2016
22,32,JAWA BARAT,3274,KOTA CIREBON,2698,ORANG,2015/2016
23,32,JAWA BARAT,3275,KOTA BEKASI,9869,ORANG,2015/2016
24,32,JAWA BARAT,3276,KOTA DEPOK,7002,ORANG,2015/2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,1643,ORANG,2015/2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3239,ORANG,2015/2016
27,32,JAWA BARAT,3279,KOTA BANJAR,1032,ORANG,2015/2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,18579,ORANG,2016/2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9174,ORANG,2016/2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11397,ORANG,2016/2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,14012,ORANG,2016/2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,6177,ORANG,2016/2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12277,ORANG,2016/2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8302,ORANG,2016/2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6273,ORANG,2016/2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,6052,ORANG,2016/2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6126,ORANG,2016/2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8771,ORANG,2016/2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7336,ORANG,2016/2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,7605,ORANG,2016/2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4495,ORANG,2016/2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8919,ORANG,2016/2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,12685,ORANG,2016/2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6847,ORANG,2016/2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2325,ORANG,2016/2017
46,32,JAWA BARAT,3271,KOTA BOGOR,10148,ORANG,2016/2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,4341,ORANG,2016/2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,1549,ORANG,2016/2017
49,32,JAWA BARAT,3274,KOTA CIREBON,1732,ORANG,2016/2017
50,32,JAWA BARAT,3275,KOTA BEKASI,10832,ORANG,2016/2017
51,32,JAWA BARAT,3276,KOTA DEPOK,6377,ORANG,2016/2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,2055,ORANG,2016/2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,297,ORANG,2016/2017
54,32,JAWA BARAT,3279,KOTA BANJAR,942,ORANG,2016/2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,14000,ORANG,2017/2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12605,ORANG,2017/2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8382,ORANG,2017/2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,18652,ORANG,2017/2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,6067,ORANG,2017/2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2394,ORANG,2017/2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12425,ORANG,2017/2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6212,ORANG,2017/2018
