id,kode_provinsi,nama_provinsi,indeks_pembangunan_manusia,satuan,tahun
1,1100,ACEH,67.09,POIN,2010
2,1200,SUMATERA UTARA,67.09,POIN,2010
3,1300,SUMATERA BARAT,67.25,POIN,2010
4,1400,RIAU,68.65,POIN,2010
5,1500,JAMBI,65.39,POIN,2010
6,1600,SUMATERA SELATAN,64.44,POIN,2010
7,1700,BENGKULU,65.35,POIN,2010
8,1800,LAMPUNG,63.71,POIN,2010
9,1900,KEP. BANGKA BELITUNG,66.02,POIN,2010
10,2100,KEPULAUAN RIAU,71.13,POIN,2010
11,3100,DKI JAKARTA,76.31,POIN,2010
12,3200,JAWA BARAT,66.15,POIN,2010
13,3300,JAWA TENGAH,66.08,POIN,2010
14,3400,D I YOGYAKARTA,75.37,POIN,2010
15,3500,JAWA TIMUR,65.36,POIN,2010
16,3600,BANTEN,67.54,POIN,2010
17,5100,BALI,70.1,POIN,2010
18,5200,NUSA TENGGARA BARAT,61.16,POIN,2010
19,5300,NUSA TENGGARA TIMUR,59.21,POIN,2010
20,6100,KALIMANTAN BARAT,61.97,POIN,2010
21,6200,KALIMANTAN TENGAH,65.96,POIN,2010
22,6300,KALIMANTAN SELATAN,65.2,POIN,2010
23,6400,KALIMANTAN TIMUR,71.31,POIN,2010
24,6500,KALIMANTAN UTARA,0.0,POIN,2010
25,7100,SULAWESI UTARA,67.83,POIN,2010
26,7200,SULAWESI TENGAH,63.29,POIN,2010
27,7300,SULAWESI SELATAN,66.0,POIN,2010
28,7400,SULAWESI TENGGARA,65.99,POIN,2010
29,7500,GORONTALO,62.65,POIN,2010
30,7600,SULAWESI BARAT,59.74,POIN,2010
31,8100,MALUKU,64.27,POIN,2010
32,8200,MALUKU UTARA,62.79,POIN,2010
33,9100,PAPUA BARAT,59.6,POIN,2010
34,9400,PAPUA,54.45,POIN,2010
35,1100,ACEH,67.45,POIN,2011
36,1200,SUMATERA UTARA,67.34,POIN,2011
37,1300,SUMATERA BARAT,67.81,POIN,2011
38,1400,RIAU,68.9,POIN,2011
39,1500,JAMBI,66.14,POIN,2011
40,1600,SUMATERA SELATAN,65.12,POIN,2011
41,1700,BENGKULU,65.96,POIN,2011
42,1800,LAMPUNG,64.2,POIN,2011
43,1900,KEP. BANGKA BELITUNG,66.59,POIN,2011
44,2100,KEPULAUAN RIAU,71.61,POIN,2011
45,3100,DKI JAKARTA,76.98,POIN,2011
46,3200,JAWA BARAT,66.67,POIN,2011
47,3300,JAWA TENGAH,66.64,POIN,2011
48,3400,D I YOGYAKARTA,75.93,POIN,2011
49,3500,JAWA TIMUR,66.06,POIN,2011
50,3600,BANTEN,68.22,POIN,2011
51,5100,BALI,70.87,POIN,2011
52,5200,NUSA TENGGARA BARAT,62.14,POIN,2011
53,5300,NUSA TENGGARA TIMUR,60.24,POIN,2011
54,6100,KALIMANTAN BARAT,62.35,POIN,2011
55,6200,KALIMANTAN TENGAH,66.38,POIN,2011
56,6300,KALIMANTAN SELATAN,65.89,POIN,2011
57,6400,KALIMANTAN TIMUR,72.02,POIN,2011
58,6500,KALIMANTAN UTARA,0.0,POIN,2011
59,7100,SULAWESI UTARA,68.31,POIN,2011
60,7200,SULAWESI TENGAH,64.27,POIN,2011
